name_book;author;year;features;name_dish;meat;beef chuck_shank_flank;bones;stock (broth);water;onion;carrot;parsnip;celery;dill;parsley;bay_leaves;black_peppercorn;salt;beet;potato;tomato;vegetable_oil;green_bell_pepper;green_cabbage;lemon_juice;tomato_paste;prune;sugar;ground_black_pepper;garlic;bacon;sour_cream;leek;vinegar;apple;zucchini;beans;unsalted_butter;vegetable_stock;sweet_hungarian_paprika;turnip;lard;tomato_puree;mushroom_stock;aubergine;cucumber;hard_boiled_egg;horseradish;beet_kvass;smoked_pork;salt_pork;allspice_berries;tomato_juice;frankfurters;tomato_sauce;sour_salt;eggs;string_beans;peas;ketchup;brown_sugar;sorrel_leaves;spinach_leaves;whipped_white_of_egg;number_ingredients
Allied Cookery British, French, Italian, Belgian, Russian ;Raoul Dandurand;1916;General;Borcht;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;yes;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;5
A taste of Russia;Darra Goldstein;1999;Ukrainian;Ukrainian-style beet soup;no;yes;yes;no;yes;yes;yes;no;yes;no;yes;yes;no;yes;yes;yes;no;no;no;yes;no;yes;no;no;yes;no;no;no;no;yes;yes;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;20
A taste of Russia;Darra Goldstein;1999;Moscow;Moscow-style beet soup;no;yes;no;no;yes;no;yes;no;no;no;no;yes;yes;yes;yes;yes;yes;no;no;yes;no;yes;no;yes;yes;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;15
A taste of Russia;Darra Goldstein;1999;Vegetarian;Vegetarian beet soup;no;no;no;no;yes;yes;yes;no;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;23
The complete Russian cookbook;Lynn Visson;1982;General;Quick Borshch ;yes;no;no;yes;no;yes;yes;no;no;yes;yes;no;no;yes;no;no;no;no;no;yes;no;no;no;no;yes;yes;no;yes;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;13
The complete Russian cookbook;Lynn Visson;1982;General;Anyas Borshch ;no;yes;no;no;yes;yes;yes;no;no;yes;yes;no;no;yes;no;yes;no;no;no;yes;no;no;no;no;yes;no;no;yes;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;12
The complete Russian cookbook;Lynn Visson;1982;Russian;Russian Borshch ;no;yes;no;no;yes;no;yes;yes;yes;yes;no;no;no;yes;yes;yes;yes;no;no;yes;yes;yes;no;no;yes;yes;no;yes;yes;yes;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;19
The complete Russian cookbook;Lynn Visson;1982;Ukrainian;Ukrainian Borshch ;yes;yes;no;no;yes;yes;yes;yes;yes;yes;no;no;no;yes;yes;yes;yes;no;yes;yes;yes;yes;no;no;;yes;yes;no;yes;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;20
The complete Russian cookbook;Lynn Visson;1982;Polish;Polish Borshch ;no;yes;no;no;no;no;yes;yes;no;yes;no;no;no;yes;yes;yes;no;no;no;yes;yes;yes;no;no;yes;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;15
The complete Russian cookbook;Lynn Visson;1982;General;Borshch for an army or the neighbors ;no;yes;yes;no;no;yes;yes;no;yes;no;no;no;no;yes;yes;yes;yes;no;yes;yes;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;no;14
The complete Russian cookbook;Lynn Visson;1982;General;Mothers Borshch ;no;yes;yes;no;yes;yes;yes;no;yes;no;no;yes;no;yes;yes;no;yes;no;no;yes;no;no;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;15
The complete Russian cookbook;Lynn Visson;1982;General;My special Borshch ;no;yes;yes;no;yes;yes;no;no;no;no;no;no;no;yes;yes;no;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;yes;yes;yes;yes;yes;no;no;no;17
The complete Russian cookbook;Lynn Visson;1982;General;Green Borshch ;no;yes;no;no;yes;no;yes;no;yes;no;yes;no;no;yes;no;yes;no;no;no;no;no;no;no;yes;yes;no;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;14
Cooking the Russian way;Musia Soper;1961;General;Borshch;yes;yes;no;no;yes;yes;yes;no;no;no;no;yes;no;yes;yes;no;yes;no;no;yes;no;no;no;yes;yes;no;no;yes;no;yes;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;15
Cooking the Russian way;Musia Soper;1961;Ukrainian;Ukrainian Borshch;yes;no;yes;no;yes;yes;no;no;yes;no;no;yes;no;yes;yes;no;yes;no;no;yes;no;no;no;yes;yes;yes;no;yes;yes;yes;no;no;no;no;no;no;yes;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;19
Cooking the Russian way;Musia Soper;1961;Summer;Summer borshch;no;no;no;no;no;yes;yes;no;yes;no;no;yes;no;yes;yes;yes;yes;no;no;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;12
Cooking the Russian way;Musia Soper;1961;Cold;Cold borshch;no;no;no;no;yes;yes;no;no;no;yes;no;no;no;yes;yes;yes;no;no;no;no;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;yes;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;11
Please to the table;Anya von Bremzen and John Welchman;1990;Ukrainian;Classic Ukrainian Borscht;no;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;26
Please to the table;Anya von Bremzen and John Welchman;1990;General;Borscht with Apples and Beans ;no;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;no;yes;no;no;no;no;yes;yes;no;yes;yes;yes;yes;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;24
Please to the table;Anya von Bremzen and John Welchman;1990;Vegetarian;My mothers Super-quick vegetarian Borscht;no;no;no;no;no;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;no;yes;yes;yes;yes;no;yes;yes;yes;no;yes;no;no;yes;no;no;yes;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;22
